cat,img,brightness,visual_complexity,symmetry,colorfulness
112,180,0.3558573785461856,925,82.63214670981661,145.3132606349365
112,20,0.11861632105859388,215,0.0,20.241448142062822
112,200,0.36582131131705414,944,81.61530286928799,152.0846156972896
112,40,0.13668865086980478,291,6.8493150684931505,34.010624074463045
112,60,0.1609362393854768,472,16.560509554140125,53.75237693371511
112,80,0.1956079940592952,630,43.492063492063494,75.57614334668429
112,94,0.2215374403746719,594,38.655462184873954,89.08445943844586
112,99,0.2315722678019229,579,35.57858376511226,93.23615219025224
113,0,0.07191035885511383,910,81.71806167400881,11.473898443744531
113,100,0.10262146841236039,996,94.77911646586345,28.403006817866782
113,101,0.10385562434026267,996,94.77911646586345,28.413744042550277
113,106,0.11019663162583769,991,93.45417925478348,28.799750071582366
113,120,0.1275631671400648,994,92.95774647887323,30.461569818996168
113,140,0.15291345607205992,999,94.8,35.391756530996474
113,160,0.177839354226352,1001,94.0,42.604832032883024
113,180,0.20163968965087628,995,93.26633165829146,48.88048998706637
113,20,0.06692208064167705,938,84.09818569903949,13.515581387742337
113,200,0.22671771557841328,984,90.22403258655804,54.017721935610886
113,40,0.06556640545816764,956,87.32984293193718,16.938567571778357
113,60,0.06904586850803783,986,91.7766497461929,21.230592709640714
113,80,0.08108757244884729,991,93.84460141271444,25.429540849963256
113,94,0.09546569384897546,994,94.07035175879398,27.65061811318023
113,99,0.1014220608060543,996,94.07035175879398,28.22585236527832
118,0,0.13483519543377068,277,43.16546762589928,14.695745393806344
118,100,0.17930359266435905,465,72.68817204301075,42.17234794196599
118,101,0.17971958200184854,464,73.23340471092077,42.63715069409852
118,106,0.1821679261946637,481,70.83333333333334,45.33792629475772
118,120,0.18997007227052864,574,71.2280701754386,53.96992390659264
118,140,0.20593142924422336,654,73.53846153846155,66.85714621067403
118,160,0.22316740719218667,699,81.66189111747852,77.99778111745469
118,180,0.2361632839584169,712,85.51336146272855,84.81835336438832
118,20,0.1436946957826909,298,50.836120401337794,18.5868390084197
118,200,0.24566578501245362,721,87.5,88.62012165412975
118,40,0.1527701458061199,365,48.9010989010989,22.601764538238093
118,60,0.16160455800384732,395,56.48854961832062,28.324744065236338
118,80,0.17070089846019765,421,64.76190476190476,33.789691183319405
118,94,0.17673587771127228,452,70.06651884700665,39.19950665865718
118,99,0.17894881838958523,465,71.2742980561555,41.58854562481403
119,0,0.13117594214032438,1024,100.0,6.951365605517833
119,100,0.27146648810615565,949,87.46048472075869,22.843049450360986
119,101,0.27326094989504457,947,86.80042238648363,22.943043159211445
119,106,0.2811904532678738,948,86.70886075949366,23.772722788609844
119,120,0.29900273524254295,950,87.24973656480506,25.83856281387182
119,140,0.31276212292105454,962,88.88888888888889,28.050612832417407
119,160,0.3180163417518616,977,91.29989764585466,29.984108481307317
119,180,0.3192626830124454,988,93.52226720647774,31.73973830137862
119,20,0.14752718927857716,1024,100.0,8.919642718475338
119,200,0.3205679758221293,991,94.16498993963782,33.54732676246536
119,40,0.16852326677634538,1024,100.0,11.60504316430454
119,60,0.19650129894531418,1016,98.03149606299213,15.360731141100654
119,80,0.23342803088151856,967,90.38262668045502,19.410716066225927
119,94,0.2607105049148462,952,88.74868559411146,21.745187106049293
119,99,0.2697412635577333,950,88.11777076761304,22.632407703009957
11,0,0.08248529457713095,470,31.914893617021278,15.905919658386294
11,100,0.18192990158370922,898,77.19688542825361,39.00131649655091
11,101,0.18255737764515662,898,77.11111111111111,39.43241049095077
11,106,0.18510238395789155,908,78.2800441014333,41.3834069590506
11,120,0.18929475867581613,934,82.22698072805139,46.921911834640966
11,140,0.1941550193455366,965,87.80991735537191,54.88124148392618
11,160,0.20317178756080972,985,91.05691056910568,63.91614558336439
